COST_CENTER_CODE,TERRITORY_TYPE_BUSN_CODE,TERRITORY_TYP_OF_BUSN_SGMNT_CD
714025,,MA
714039,,MS
714046,,MS
714059,,MS
714070,,MS
714083,,MS
714110,,MS
714114,,MS
714118,,MS
714120,,WW
714123,,MS
714126,,MS
714135,,MS
714185,,MA
714193,,MS
714198,,MA
714248,,MS
714269,,MS
714403,,FL
714404,,MS
714407,,MS
714417,,MS
714432,,MS
714433,,MS
714443,,MS
714445,,MS
714452,,MS
714460,,MS
714461,,MS
714468,,MS
714487,,MS
714501,,MS
714515,,FL
714532,,MS
714538,,MS
714539,,MS
714580,,MS
714585,,MA
714593,,FL
714618,,FL
714627,,MS
714640,,MS
714656,,FL
714692,,BH
714695,,MS
714700,,MS
714701,,MS
714710,,WW
714715,,MS
714736,,MS
714765,,MS
714775,,MS
714786,,FL
714787,,MS
714795,,MS
714807,,MS
714817,,MS
714821,,MS
714823,,BH
714831,,MS
714838,,FL
714840,,MS
714841,,FL
714857,,MS
714894,,MS
714920,,FL
714922,,MS
714934,,PT
714935,,PT
714937,,MS
714940,,MS
714954,,MS
714975,,MS
714985,,MS
714986,,MS
715503,,MS
715519,,MS
715528,,MS
715569,,MA
715570,,MS
715582,,MS
715595,,MS
715634,,MS
715669,,MS
715702,,FL
715746,,MS
715766,,MS
715767,,MS
715806,,FL
715827,,MS
715828,,FL
715835,,MA
715887,,MS
715896,,FL
715921,,MS
715927,,MS
715932,,FL
715934,,MA
715936,,MS
715952,,MS
716004,,MS
716034,,MS
716037,,MS
716054,,FL
716069,,MS
716088,,MS
716103,,MS
716114,,MS
716127,,MS
716129,,MS
716140,,MS
716141,,MS
716144,,MS
716154,,MS
716155,,MS
716156,,MS
716157,,MS
716173,,MS
716174,,MS
716198,,MS
716207,,MS
716213,,MS
716248,,MS
716254,,WW
716291,,MS
716293,,MS
716305,,MS
716313,,MS
716316,,MS
716357,,MS
716369,,MS
716387,,MS
716390,,MS
716401,,MS
716422,,MS
716450,,MS
716462,,MS
716472,,MS
716510,,PT
716531,,FL
716534,,MS
716560,,MS
716567,,PT
716581,,MA
716604,,MA
716605,,WW
716609,,MS
716626,,MS
716637,,MS
716663,,MS
716665,,MS
716669,,MS
716678,,MS
716684,,MS
716691,,MS
716703,,MS
716706,,MS
716744,,MA
716748,,WW
716763,,MS
716792,,MS
716816,,MS
716821,,MS
716826,,MS
716852,,PT
716891,,MS
716894,,MS
716905,,MS
716910,,MS
716935,,MS
716937,,PT
716938,,PT
716943,,PT
716954,,MA
716979,,MS
716987,,PT
716990,,MS
716998,,MS
717741,,MS
717760,,MS
717761,,WW
717774,,MS
717777,,FL
717780,,FL
717797,,MS
717799,,MS
717836,,MS
717851,,WW
717866,,MS
717895,,MS
717926,,MS
717931,,MS
717936,,MS
717963,,FL
717964,,FL
718320,,MS
718330,,MS
718339,,MS
718344,,MS
718349,,MA
718360,,MS
718368,,MS
718371,,MS
718372,,MS
71Q239,,FL
71Q251,,MS
71Q803,,FL
71Q804,,MS
71Q805,,FL
71Q806,,WW
71Q807,,WW
71Q808,,MS
71Q810,,PT
71Q811,,MS
71Q813,,MS
71Q814,,WW
71Q815,,FL
71Q853,,MS
71R102,,FL
71R103,,FL
71R104,,MS
71R105,,FL
71R106,,WW
71R107,,FL
71R108,,FL
71R109,,FL
71R110,,WW
71R111,,WW
71R115,,MA
71R117,,MS
71R118,,FL
71R119,,WW
71R120,,FL
71R121,,WW
71R122,,WW
71R123,,FL
71R124,,MS
71R125,,FL
71R126,,MS
71R127,,MS
71R128,,PT
71R129,,PT
71R130,,FC
71R131,,FC
71R132,,FC
71R133,,FC
71R134,,FC
71R135,,FC
71R136,,FC
71R137,,FC
71R138,,FC
71R139,,FC
71R140,,MS
71R460,,MS
71R461,,MS
71R462,,MS
71R463,,MS
71R464,,MS
71R465,,MS