COST_CENTER,TOTAL_SQ_FT,SALES_SQ_FT
701001,6000,2014
701002,6161,2467
701003,5000,1652
701005,7500,1336
701006,5000,1640
701007,3294,1226
701009,5000,2180
701010,5603,2307
701011,5200,2323
701012,5040,2315
701013,5000,2670
701014,5500,3160
701015,5700,1982
701016,4750,1564
701017,6400,2015
701018,5000,2287
701019,5000,2742
701020,5000,2449
701021,6000,3009
701024,6440,2436
701026,4000,1784
701027,4000,2567
701028,5000,2507
701029,6600,2554
701030,4652,1964
701031,4800,1381
701032,4985,2342
701033,5356,1958
701034,5000,2273
701035,5000,2271
701036,3360,1449
701037,5346,2033
701038,5850,2616
701039,6000,2044
701040,4950,2992
701045,5800,2797
701046,4000,2268
701050,4275,1667
701053,4448,2101
701055,5250,2522
701056,3732,2544
701057,6000,2739
701058,3733,1907
701059,3750,1935
701060,4129,2216
701062,5000,2653
701063,5600,1898
701065,4620,2306
701068,6000,2356
701070,4000,1554
701071,4048,2495
701076,4725,2329
701077,4250,2597
701078,3500,2102
701080,5000,2668
701081,5000,2462
701082,4000,1694
701083,4350,2489
701085,8000,1058
701087,3520,1480
701088,5000,2647
701090,4800,2264
701091,5000,2092
701093,5504,2108
701094,5000,2569
701095,4000,2582
701096,6000,2632
701098,6000,2545
701099,3737,1572
701101,4000,2229
701104,5400,2555
701105,5591,2302
701109,7500,2528
701110,4000,2608
701112,5928,2184
701113,5000,2411
701114,6480,2474
701116,6000,2424
701118,5200,2072
701119,3474,1809
701120,5000,2440
701122,5000,2525
701123,3984,2010
701124,4000,2265
701125,4050,2470
701127,5000,2373
701128,5000,2467
701129,4000,2103
701131,4539,2169
701133,5000,1727
701134,5000,1634
701135,4000,1744
701136,26596,822
701137,4000,2519
701139,8100,
701140,4050,2489
701141,6000,2375
701144,5730,2848
701145,6000,2375
701146,7840,1153
701147,6000,994
701149,8000,2612
701151,7500,
701152,4500,1682
701153,5000,2180
701155,5000,2157
701156,3648,2478
701157,4500,1884
701158,6000,2396
701159,4000,1686
701162,4500,1717
701163,4000,2670
701164,4000,1715
701167,4480,2529
701171,7386,2804
701172,9176,1071
701175,12000,2286
701176,4050,1978
701179,4000,2056
701180,4984,1902
701184,6284,2398
701185,7140,2098
701186,5523,1913
701187,4000,1752
701188,6000,2554
701189,3850,1575
701191,4000,1792
701192,5000,2137
701193,5067,2526
701194,5000,1863
701195,6233,2509
701197,10540,873
701198,5313,1766
701199,5000,2486
701202,7525,2177
701205,4100,1916
701206,4400,1749
701207,6000,2532
701208,4435,1936
701209,5996,2941
701211,5000,2493
701213,4500,2122
701214,7500,309
701215,5030,2400
701217,9680,1265
701218,5925,2514
701219,5000,2479
701220,5000,2475
701221,13500,672
701223,6185,
701224,5000,2127
701225,12000,4712
701227,5000,2241
701228,5000,2377
701231,5000,2399
701232,5240,2325
701233,5000,2479
701235,3600,1348
701236,5600,2632
701237,4000,1525
701238,5000,2479
701239,12000,716
701241,4800,2177
701242,6000,2440
701243,5108,1644
701244,5545,2435
701245,7000,1354
701246,9960,782
701248,4200,2212
701249,8779,
701250,5000,2583
701251,10266,1676
701253,4571,2417
701255,5703,2554
701257,4500,2499
701258,10580,3596
701260,6600,850
701261,4860,2472
701262,4000,2384
701263,12000,1240
701264,6000,2012
701266,4397,2158
701269,6000,2437
701274,5000,2492
701275,5283,2481
701276,3600,2001
701277,7500,533
701279,5000,2498
701280,4500,1777
701281,5000,2492
701282,29112,800
701283,4080,2654
701284,3900,2309
701285,5000,1946
701287,4500,2153
701288,4900,2372
701290,4032,1618
701291,5000,2433
701293,4700,1125
701295,3400,2103
701297,5016,2473
701298,5000,2432
701299,5856,2423
701301,4800,2780
701303,4500,1957
701307,5620,2008
701309,5000,1913
701310,5811,1831
701311,5250,2353
701312,6630,2024
701315,5000,2628
701316,4900,2398
701317,6480,2181
701318,4850,1680
701319,5000,2467
701320,6700,2396
701321,4000,2182
701322,7200,
701323,10000,1047
701324,4800,2497
701325,5002,2525
701326,5600,2438
701327,5200,2535
701329,5000,2443
701331,5837,3334
701332,10000,957
701334,5000,2498
701336,5000,2510
701337,4743,2616
701338,5000,2535
701339,5905,2938
701340,15000,1454
701341,3425,1554
701342,3920,2018
701343,4774,2417
701344,5850,2139
701345,6000,2418
701346,4824,2168
701347,9517,1247
701348,4080,2339
701350,5000,2380
701351,5000,2078
701354,5000,2514
701356,4860,2384
701357,5000,2500
701358,3765,2412
701359,3780,1873
701360,4451,2910
701361,5000,2377
701362,4900,2400
701363,3600,1921
701364,5000,2274
701365,4200,2130
701366,5100,964
701368,7600,1024
701373,5000,2384
701374,5000,2399
701375,5000,2388
701379,5000,2454
701381,5000,2440
701382,5000,2488
701383,4500,2387
701384,4800,1787
701388,5066,2273
701389,4500,2129
701390,14340,615
701391,4000,1647
701392,4000,1600
701393,5000,2107
701394,4000,1762
701395,4000,1629
701396,6584,1300
701397,4200,1797
701422,3200,1431
701424,3500,1759
701428,4000,1694
701429,4400,2419
701430,7500,1200
701435,5060,1951
701436,4800,2341
701437,5000,2478
701438,4429,2310
701439,4900,2490
701442,5000,2455
701445,5000,2609
701447,4000,1701
701448,5000,2507
701450,6000,500
701454,4200,1921
701455,4000,1679
701459,4673,2097
701460,4800,2221
701477,5800,1614
701500,5000,2534
701527,4599,2344
701528,6215,2237
701532,5000,2436
701562,4050,1979
701563,4000,2199
701568,4960,2054
701575,5636,2568
701584,4859,2325
701630,3720,1675
701650,5667,2368
701658,6347,1828
701666,4500,1464
701706,4000,1531
701710,4000,1465
701712,5092,1480
701713,3500,1835
701715,4500,1719
701716,4184,1734
701717,2700,941
701718,4000,1130
701719,3000,918
701720,4000,1653
701721,4400,1238
701722,5480,1364
701724,5120,1514
701725,3600,1280
701726,3774,1483
701727,3000,1114
701728,6123,1234
701730,4500,2252
701733,3000,1386
701734,6000,1289
701735,5800,1372
701737,5040,1660
701738,6378,2166
701739,5040,927
701740,3800,1178
701741,6000,1173
701742,4000,1465
701743,4787,1271
701744,3967,1542
701745,2968,1510
701748,5800,921
701749,4000,1465
701750,4000,920
701754,5150,2261
701755,3500,1800
701756,4000,1704
701757,4000,1419
701758,3500,1568
701760,4000,1853
701761,4095,2031
701762,4000,1775
701763,4675,2055
701764,4000,2083
701765,3500,1404
701766,21516,
701767,3955,1598
701768,3600,1585
701770,2968,1300
701771,3508,1547
701772,3500,1532
701773,3480,1621
701774,5400,2078
701775,3500,1525
701776,10680,3614
701778,6000,1335
701779,3500,1474
701780,3573,1475
701781,3500,1527
701782,3000,1634
701784,4000,1494
701785,3600,1753
701787,3500,1563
701789,3500,1527
701790,3500,1340
701791,3365,1363
701792,4000,1464
701793,3500,1527
701795,6000,2603
701796,3500,1553
701797,5000,2561
701798,7800,3827
701799,3500,1494
701805,16800,1543
701807,3500,1465
701808,9000,1980
701809,7800,2935
701810,4312,1769
701811,5000,2373
701812,3500,1607
701813,4900,2604
701815,3562,1491
701822,3500,1526
701823,3500,1465
701835,5745,1528
701836,13000,500
701843,8550,2537
701849,3500,1543
701853,11926,1172
701856,4000,1525
701863,4955,1619
701873,18520,2485
701877,8100,1948
701878,4000,1742
701889,1800,884
701890,4000,1797
701892,7067,2875
701893,6000,2379
701894,8519,2239
701895,7000,2350
701896,7000,2407
701897,5000,2526
701898,4500,1730
701899,8000,2251
701900,2800,1459
701901,15000,3738
701902,6280,2512
701903,5500,2522
701904,5266,2474
701906,5000,2474
701908,4500,1739
701909,5500,2565
701910,7200,2373
701912,5000,2659
701913,8200,2589
701914,5041,2409
701915,4800,2622
701916,4200,2355
701917,2604,983
701918,4500,1465
701919,4000,1868
701920,4000,1917
701921,6420,2423
701922,5000,2341
701924,4000,2329
701925,3500,1556
701926,6480,2133
701928,4500,1544
701929,13800,1046
701930,4005,1665
701932,4500,2502
701933,4000,1707
701934,3595,1504
701936,5000,2498
701938,4500,1938
701940,13752,1851
701942,4520,1970
701948,4000,1601
701949,7500,2674
701951,5000,2237
701952,5000,2537
701954,3055,1661
701955,5900,2125
701956,4000,1562
701957,5000,1900
701958,4992,2404
701959,5000,2541
701961,5494,2600
701962,5617,1481
701963,5000,2418
701964,6000,2797
701968,8750,2285
701970,4000,2597
701971,4658,1717
701972,6250,2039
701973,7280,2923
701974,10800,2007
701976,5000,2392
701977,5000,2399
701979,4500,1785
701981,5625,2999
701982,5025,2044
701983,4000,1711
701984,3185,1632
701985,3000,1319
701986,4000,1755
701987,2700,1329
701988,3203,1512
701992,5000,1991
701996,4000,1918
701998,2560,1167
701999,6300,1174
703003,5000,2598
703004,4000,1496
703005,3900,1656
703006,5000,2729
703007,4909,2457
703008,5600,2742
703009,7493,4388
703010,5000,2280
703011,4000,1757
703013,4912,2266
703014,6000,2283
703016,6160,2513
703017,4000,1959
703018,5000,2705
703019,7500,3137
703020,5440,2443
703021,4534,2500
703022,6000,2736
703023,4752,1518
703024,5368,2705
703025,5308,2613
703026,3420,1888
703027,6158,2232
703028,5500,2491
703029,4940,2190
703030,5000,2101
703031,6000,2083
703032,4160,1645
703033,4000,2090
703034,6040,3024
703035,7393,2523
703036,4400,2271
703037,5000,2407
703038,4375,1991
703039,5000,2323
703040,4000,2257
703041,4722,2280
703042,5112,2387
703043,5000,1612
703044,5820,2635
703045,5095,1985
703047,5000,2090
703049,4800,2311
703050,5000,2722
703051,4500,2011
703052,7973,1762
703054,5100,2725
703055,4440,1068
703056,6000,2133
703057,10416,2875
703058,4000,2396
703059,6385,2357
703060,5400,2855
703061,7300,2395
703062,10380,948
703063,3024,1682
703064,2863,1879
703065,4388,2301
703066,4514,2255
703067,3752,2207
703068,4481,2331
703069,5410,2300
703070,5000,2713
703072,5040,2146
703074,4510,2315
703075,5090,1992
703077,4000,1405
703078,8000,2839
703079,6000,2113
703080,5000,2421
703081,8280,1914
703082,3932,1432
703088,6180,2757
703089,3700,1658
703090,6000,2908
703092,4700,2504
703093,3835,1941
703096,5000,2104
703097,4000,1750
703100,14474,1020
703103,8502,2654
703107,4000,1567
703108,5000,2046
703110,10000,2778
703111,4856,2145
703113,5000,2636
703114,7560,2630
703115,7100,1314
703116,9000,2880
703117,3600,2049
703119,5200,2651
703120,4590,2426
703121,2963,1497
703122,11142,1713
703123,4925,2440
703124,5400,2045
703125,4000,2116
703126,4000,2113
703127,6100,2481
703128,3284,2044
703129,4765,2411
703130,4200,1779
703131,9600,942
703132,3790,2041
703133,5600,1982
703134,9500,2262
703135,4200,2101
703136,5700,2604
703137,5850,791
703138,17520,2284
703139,7200,2299
703140,4000,2083
703142,5000,2401
703143,5685,3133
703144,4145,2283
703145,4720,2310
703146,4680,2293
703147,1413,150
703151,5055,2364
703152,5000,2404
703153,6000,2535
703157,5000,2618
703158,4000,2328
703159,4500,1979
703160,3500,1827
703161,4650,2004
703162,4000,1780
703163,8400,936
703164,5449,2765
703165,4952,1997
703169,4608,2053
703170,5600,2147
703171,17608,2496
703172,4140,1832
703173,4200,1964
703174,8748,1692
703175,5000,2229
703176,5000,2452
703178,6590,2951
703179,4500,2097
703180,6000,2563
703181,6090,2102
703182,3690,2121
703183,5514,2091
703184,4000,1756
703185,5000,2763
703186,4515,2359
703187,5000,2522
703188,6000,2008
703189,5000,2505
703190,4768,2656
703193,4616,2150
703194,4011,1803
703195,4600,1946
703196,5062,2257
703197,5598,2595
703199,5750,2451
703200,5400,2073
703201,4704,2110
703203,14000,1713
703204,4800,2062
703205,6000,2238
703206,7000,2455
703207,8670,1199
703208,8000,477
703209,5776,843
703210,6030,689
703211,4800,2451
703212,3000,1067
703213,5000,2328
703214,11610,2367
703215,5000,2273
703216,6580,1107
703217,6552,765
703218,5044,2343
703219,5800,2347
703221,6900,2266
703222,5000,2811
703223,5000,2318
703224,4800,2480
703225,4800,2630
703226,5149,2551
703227,6420,1884
703228,5000,2704
703229,5000,2319
703230,7650,934
703232,7000,1066
703233,15728,860
703234,5000,2529
703235,5000,2512
703236,5400,3468
703237,8634,2763
703238,5100,2624
703239,4000,1527
703240,5014,2648
703241,10000,1028
703242,5000,2713
703243,5100,2524
703244,5000,2249
703246,5000,2679
703247,5000,2886
703249,8515,2347
703250,6000,1081
703251,7170,1260
703252,5100,2385
703253,5000,2476
703255,4700,2150
703256,4000,2280
703257,5000,2378
703258,5000,2587
703259,4472,2341
703260,5000,2118
703261,5000,2299
703262,5400,2343
703263,6300,1000
703265,4800,2691
703266,4800,2326
703267,4500,2354
703268,6500,2344
703269,4800,2352
703270,4480,2225
703271,5000,2688
703272,4000,1619
703273,4650,2332
703274,4720,2584
703275,6400,2546
703276,5000,2552
703277,4258,1212
703278,4800,2446
703279,4290,1913
703280,5000,2463
703282,5000,2600
703285,4500,1686
703287,5000,2676
703288,4500,1908
703289,5000,2063
703290,4740,1816
703291,5000,1726
703292,4000,1882
703293,3920,1635
703294,4500,1988
703295,9178,1904
703296,5000,2035
703297,5000,1998
703298,5000,2036
703299,5000,1919
703305,4500,1943
703313,5666,1808
703317,4046,1792
703321,5800,2205
703352,4581,1798
703355,2820,827
703365,4462,2007
703372,4000,2069
703380,8204,2209
703388,3600,1649
703392,3610,1627
703396,4000,1895
703397,5503,2071
703398,4577,1987
703399,3001,1323
703400,3700,1837
703402,5000,2273
703403,4000,1822
703404,4500,1751
703405,5150,1976
703406,10000,2439
703407,5400,1695
703408,3160,1595
703409,4800,2012
703410,3600,1791
703411,3500,1402
703412,3092,1557
703414,4000,1757
703415,3250,1644
703416,4000,1747
703417,4000,1588
703418,4100,1714
703419,4500,1821
703420,3500,1831
703421,5663,1247
703423,3712,1777
703424,3500,1509
703425,3500,1446
703427,3799,1384
703428,3500,1619
703429,6327,2170
703430,3980,1721
703431,3500,1598
703434,5796,2085
703435,3526,1534
703436,3500,1527
703437,3500,1630
703438,3804,1699
703439,8000,2428
703440,4000,1755
703441,5000,1883
703442,4000,1657
703443,3500,1526
703445,4408,1718
703449,4000,1523
703451,3500,1526
703452,4000,1854
703457,3072,1269
703470,4000,1525
703471,3500,1526
703472,3500,1530
703473,3500,1527
703475,3223,1533
703476,4102,1531
703477,7500,1225
703479,3630,1732
703481,10000,1707
703482,4000,1526
703497,12750,2804
703500,6480,826
703501,7500,2096
703504,5776,3442
703506,4000,1873
703507,4800,2401
703508,5125,1355
703509,5000,2062
703510,5000,2076
703511,3000,1728
703512,4000,2127
703513,2222,1304
703514,3744,1173
703516,6000,2059
703518,5000,2246
703519,4862,2458
703520,6110,2321
703522,5000,1953
703525,9569,2197
703526,4000,1745
703527,6651,1401
703528,8400,1844
703532,4177,1764
703533,5400,1986
703534,4500,1966
703536,4063,1817
703537,4287,1595
703538,4000,1922
703539,7028,2297
703540,3200,1552
703542,3815,1451
703546,6320,1115
703549,5593,2505
703551,7200,2504
703552,4132,2273
703553,5654,2340
703555,6000,2220
703556,4000,2484
703557,3956,2366
703558,3605,1531
703559,3600,1704
703562,4750,2458
703563,4888,2491
703565,3392,2010
703566,4000,1627
703569,3120,1456
703585,4000,1685
703599,3950,1725
703610,4500,1752
703612,5000,2271
703647,5600,2592
703653,6000,2238
703658,5000,2290
703659,6000,3061
703665,6000,2537
703669,7807,2139
703674,12804,3508
703691,5640,2225
703701,6565,2094
703702,4617,2197
703704,3500,1302
703705,6065,2454
703706,8882,3229
703707,4000,1701
703709,6000,2477
703711,4850,2391
703713,4114,2497
703720,4056,1568
703721,14643,600
703774,4000,1582
703783,6000,2405
703792,3881,2418
703811,4562,1710
703816,4500,1750
703822,6000,2432
703826,5131,2577
703827,6000,2339
703833,7000,1459
703835,4500,1862
703840,5500,2089
703845,13680,2432
703846,6400,2391
703848,6240,1367
703860,4720,2328
703877,5000,2091
703878,3504,1197
703879,6000,2045
703880,3530,1527
703883,3200,1183
703886,10000,3151
703903,4691,2339
703906,4000,1999
703907,3936,1792
703909,3186,1756
703910,5100,1434
703917,5940,2169
703918,6000,673
703921,5916,2388
703922,4884,1639
703923,10000,2621
703927,3150,1681
703928,5600,2812
703932,6000,2241
703934,4000,1992
703936,3000,1801
703937,4500,1886
703939,4507,2300
703940,6300,803
703942,3523,2488
703945,2334,1191
703948,5257,2170
703949,4000,1532
703966,3193,1537
703971,9350,1396
703972,4325,2013
703973,4500,1747
703976,3917,1613
703985,5000,1762
703991,5000,2464
704306,6000,825
704312,9635,859
704314,6900,825
704324,11791,1819
704338,12000,926
704340,14000,908
704349,7525,1836
704372,17520,1631
704384,12200,1256
704389,13800,1006
704390,9778,963
704396,6400,1539
704399,7650,749
708001,6183,2570
708002,5088,2330
708005,5000,2499
708008,5100,2231
708012,4998,2078
708014,6000,1053
708015,4000,2175
708016,6000,2419
708018,6058,2390
708021,4824,2361
708026,6000,1732
708029,5837,1758
708038,9034,1825
708049,6013,2204
708051,6265,2315
708052,6000,2690
708054,4176,1719
708055,4865,2372
708058,5152,2182
708061,5029,1878
708074,15678,2675
708079,6000,1850
708080,6000,2449
708084,5120,2546
708085,6760,2358
708086,4900,2100
708087,13800,1887
708088,7266,1376
708090,5995,2044
708091,5040,1545
708092,10275,2165
708096,6000,2280
708098,3500,1544
708099,5032,2331
708109,5720,1593
708118,5000,2757
708120,6000,1274
708126,4992,2192
708136,5000,2401
708137,5025,1267
708139,5005,2480
708141,5940,2331
708148,5000,2223
708156,6447,658
708157,7500,2563
708169,5000,2345
708173,18000,1200
708176,13000,1429
708189,3700,1616
708192,5460,1803
708196,4500,1935
708200,21345,
708229,4523,2460
708231,6050,2261
708238,5000,1929
708239,8000,1424
708241,6554,405
708246,5000,2432
708252,5760,2765
708255,6500,2510
708258,8000,1021
708259,4840,1000
708260,6633,768
708261,5000,2358
708262,5000,2374
708263,5000,2545
708264,5000,2551
708266,4500,1981
708271,5200,1825
708272,4000,1493
708275,5000,2646
708285,5000,1296
708289,5000,2651
708290,4960,2288
708299,5070,2215
708420,10000,1081
708455,7020,2735
708457,5430,2117
708458,7040,2164
708460,4000,2301
708461,5000,2099
708470,33722,4154
708471,6798,2136
708472,4300,2121
708473,12555,2226
708474,11170,3306
708475,3255,1696
708476,10000,2549
708477,6824,2392
708480,5625,2064
708481,6200,2003
708499,7100,2097
708527,5237,2010
708534,4018,1379
708538,5222,500
708548,5414,2429
708553,5404,1867
708554,4500,1859
708555,4000,1405
708556,4905,1911
708570,7185,1815
708571,6000,2384
708574,4414,1692
708594,4810,2201
708598,4042,1877
708603,7450,2330
708605,7293,2665
708606,5000,4663
708609,5000,2004
708610,4508,1604
708611,5000,2529
708613,5500,2199
708615,5480,2229
708618,5203,1777
708619,4350,2075
708620,3548,1660
708622,12125,800
708623,6810,2299
708626,4425,1953
708627,4640,2145
708628,4500,1744
708629,4679,1458
708638,4800,2204
708639,3600,1598
708640,5606,2541
708641,4000,1748
708642,3320,1389
708643,3429,1615
708648,3800,1823
708651,3978,1737
708652,3514,1725
708653,3600,1583
708654,4500,1767
708655,3400,1802
708656,4364,2150
708658,4000,1755
708659,4125,1813
708662,4895,2359
708663,10094,1000
708667,3395,1542
708673,5500,2047
708674,4000,1850
708960,6000,1168
708963,3995,1583
708964,3329,1400
708966,5508,2224
708967,10683,559
708968,4400,1803
708969,3600,1804
708970,4680,2000
708971,3504,1584
708972,4000,1523
708973,2173,924
708974,5200,1974
708975,4000,1820
708976,4000,1922
708978,12960,235
708979,3889,1795
721043,3233,1536
721052,3247,1455
721107,3004,1395
721201,3500,1543
721204,4250,2004
721270,3500,1465
721292,3559,1620
721386,4000,1465
721507,3053,1252
721540,4128,1936
721547,5361,2112
721814,3500,1550
721839,2350,1145
721905,3500,1465
723083,3500,1464
723535,3217,1527
723958,9585,1087
723989,3265,1524
725195,3819,1790
728110,3900,1635
701004,4000,2280
701008,6700,2560
701023,4500,2216
701025,3557,1875
701041,5824,2530
701042,5967,1944
701044,3200,1539
701051,5936,2044
701054,4000,1960
701061,4000,1883
701066,4000,2076
701067,6050,2037
701069,4000,2061
701072,2212,1265
701073,4500,2389
701074,5000,2166
701075,5000,2113
701079,5000,2435
701084,8053,2484
701089,3754,1402
701092,5000,1968
701102,5000,2388
701103,8369,2827
701106,6090,2534
701108,7460,1389
701117,4175,1735
701121,2248,2237
701126,5000,2344
701130,5000,2403
701132,4300,2196
701143,8000,1895
701148,3140,1636
701150,4468,1831
701161,4775,2133
701165,5000,1984
701166,4526,2154
701168,3600,1998
701170,6000,2803
701173,11200,1904
701174,4640,1886
701177,4200,2189
701178,4200,2025
701181,4340,1527
701182,4000,2347
701183,4300,2212
701190,5210,650
701216,4200,2220
701226,7000,2412
701230,3000,1409
701234,4270,2203
701240,4000,2157
701252,6000,2767
701254,6154,1819
701256,4400,2126
701267,4000,2110
701268,5000,2312
701271,4548,2254
701272,4000,2002
701273,4814,2135
701278,6230,2923
701294,7800,1939
701296,5000,2403
701314,4000,2087
701328,4000,1814
701355,4150,1787
701380,3900,1938
701387,4144,1934
701404,5301,855
701427,3700,1619
701441,3750,1667
701443,3802,1681
701444,3500,1841
701446,3000,1572
701449,3200,1793
701451,3300,1604
701458,4056,1829
701461,3000,1599
701462,3360,1503
701468,5176,
701469,3000,1793
701485,3716,2578
701498,5250,2156
701565,4836,2451
701566,4407,1903
701569,7000,1801
701627,4000,2343
701628,2817,1247
701637,4212,1968
701639,4000,2171
701678,4535,2461
701679,9994,1294
701698,3360,1244
701759,5050,2506
701786,4800,2133
701794,4000,1842
701806,7000,3104
701818,4179,1686
701819,4600,1775
701829,4500,1712
701837,7200,1789
701838,2473,980
701848,2920,1294
701850,4200,1897
701851,6900,1923
701852,4348,1798
701854,2400,1336
701855,4000,1875
701857,3349,1559
701858,4080,1695
701859,3700,1680
701860,3176,1479
701861,3528,1504
701862,2515,1031
701864,5400,2022
701865,2942,1146
701866,2516,1371
701867,5160,1808
701868,6000,1878
701870,2960,1395
701871,3349,1468
701872,4290,1782
701874,5720,2279
701875,3600,1269
701876,3650,1754
701879,4520,2189
701880,6000,2234
701881,5375,2222
701882,4500,1618
701883,3180,1464
701884,3500,1515
701885,3000,1473
701886,4116,1720
701887,3030,1363
701888,3284,1876
701907,3736,1731
701911,7600,2915
701927,8000,3722
701931,3040,1572
701935,3240,1364
701943,2000,1095
701945,2850,1395
701946,3100,1300
701947,3850,1466
701950,3000,1366
701953,6000,2588
701960,4800,1785
701965,3400,1589
701966,4364,1642
701969,3600,1483
701975,3621,2033
701978,4500,1995
701980,3500,1583
701989,3584,1413
702005,4800,1921
702808,3560,1584
702819,4080,3349
702820,4360,1602
702821,4002,1570
702822,12858,642
702823,4652,1592
702827,3552,1607
702829,4000,1718
703302,4224,1658
703303,3400,1979
703304,3400,1585
703306,4000,1852
703307,4800,1653
703308,5000,1847
703310,4200,1374
703311,4760,1391
703314,12610,4111
703316,10000,1345
703318,4000,1645
703320,14000,1441
703322,11500,1792
703323,4000,1643
703324,3600,1489
703325,2220,725
703327,5002,1717
703332,4266,1927
703333,2700,942
703334,3955,1696
703335,4800,1560
703337,4648,1720
703338,6100,1842
703339,3960,1548
703342,4000,1828
703344,4555,1591
703345,5820,1603
703347,2552,1207
703348,18795,2422
703351,5200,1667
703353,4565,1575
703354,5848,1814
703356,6000,1449
703357,3800,1574
703358,2443,885
703359,3600,1509
703360,10775,2105
703361,4800,2149
703362,2135,1051
703364,2800,1240
703366,5250,1455
703367,4700,1678
703368,4353,1785
703373,2600,1293
703374,10900,2185
703375,15163,2668
703376,7370,1522
703377,3420,1628
703378,4600,1606
703379,4200,1381
703381,3000,1285
703382,3000,1545
703383,2400,1229
703384,13193,2146
703385,5010,1794
703389,4265,1372
703390,5000,1698
703391,3200,1691
703393,5000,1706
703394,2875,1156
703422,3600,1833
703446,2962,1540
703447,7956,801
703448,2525,1206
703450,4821,2002
703454,3088,1586
703455,4000,1591
703456,18072,2094
703458,3200,1378
703459,3500,1516
703461,3604,1518
703462,4000,1550
703463,2432,1214
703464,4200,1516
703465,3046,1442
703466,3000,1466
703467,3267,1544
703468,5400,1864
703478,2435,1154
703480,3117,1543
703491,4200,1615
703580,6000,280
703600,5000,2232
703601,4727,1900
703602,6000,1856
703604,4200,2224
703605,3350,1914
703607,3081,1229
703608,3421,1343
703609,2710,1464
703611,11250,1379
703613,3030,1042
703614,3024,1436
703617,4813,2337
703623,4735,1433
703627,2900,1014
703628,14001,2524
703629,5000,2038
703630,5099,1544
703635,6000,2056
703646,5700,1968
703649,3644,1732
703690,4300,1768
703692,2500,1344
703695,3239,1536
703696,3200,1495
703697,3006,1416
703699,6680,848
703700,4800,2771
703723,5252,1743
703724,5000,880
703725,8400,1660
703726,7000,1242
703729,2550,963
703730,3200,1961
703732,2500,1303
703733,4116,2064
703734,3500,1572
703735,4600,464
703736,3912,1398
703738,3000,1600
703739,3140,1735
703741,4040,1942
703743,6373,1475
703744,2943,1743
703745,3000,1608
703746,3000,1621
703747,3304,1646
703748,3710,1503
703749,3000,1592
703750,3358,1733
703751,4000,1657
703755,4860,1908
703757,4200,2024
703758,3360,1357
703759,3000,1852
703760,4165,1641
703763,2688,2033
703765,4000,1593
703766,5600,2904
703767,4920,1772
703768,2800,1821
703769,3783,1840
703773,5650,1702
703776,3730,2129
703777,2565,1576
703778,3500,2335
703784,3620,1808
703787,3000,1341
703788,2160,1351
703789,4000,1681
703790,3750,1266
703791,4800,1962
703795,3600,1939
703796,3500,1522
703797,3683,1831
703801,11063,2236
703805,3000,1310
703806,4086,1888
703808,3850,1509
703809,4375,1608
703812,17500,1858
703814,3000,1201
703819,5732,2657
703820,3600,1561
703821,3000,1521
703823,4000,1657
703824,4625,1867
703838,2800,1379
703842,5177,1891
703850,11314,1707
703863,2650,1366
703865,3342,1907
703931,2500,891
703946,10625,590
703981,3665,1692
703982,3347,1507
